...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
229,230,creative,10 Use bricks as a base for a DIY outdoor pizza oven,use bricks as a base for a diy outdoor pizza oven,brick,brick,1.19167
230,231,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
231,232,creative,2 Create a unique garden border by stacking bricks in a decorative pattern,create a unique garden border by stacking bricks in a decorative pattern,brick,brick,1.19181
232,233,creative,3 Use bricks to create a DIY fire pit in your backyard,use bricks to create a diy fire pit in your backyard,brick,brick,1.19167
233,234,creative,4 Use a brick as a weight to hold down a tarp or outdoor furniture during windy weather,use a brick as a weight to hold down a tarp or outdoor furniture during windy weather,brick,brick,1.19167
234,235,creative,5 Create a rustic and industriallooking shelf by stacking bricks and placing a wooden board on top,create a rustic and industriallooking shelf by stacking bricks and placing a wooden board on top,brick,brick,0.80936
235,236,creative,6 Use bricks as a base for a table or bench in your outdoor space,use bricks as a base for a table or bench in your outdoor space,brick,brick,1.19167
236,237,creative,7 Use bricks to create a unique and eyecatching mailbox stand,use bricks to create a unique and eyecatching mailbox stand,brick,brick,0.80844
237,238,creative,8 Use bricks to create a DIY outdoor oven or grill,use bricks to create a diy outdoor oven or grill,brick,brick,0.80833
238,239,creative,9 Use bricks to create a unique and sturdy bookshelf,use bricks to create a unique and sturdy bookshelf,brick,brick,0.81447
239,240,creative,10 Use bricks to create a decorative and functional pathway in your garden or backyard,use bricks to create a decorative and functional pathway in your garden or backyard,brick,brick,1.19167
240,241,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
241,242,creative,2 Create a unique garden border by stacking bricks,create a unique garden border by stacking bricks,brick,brick,1.1917200000000001
242,243,creative,3 Use bricks as weights for a homemade workout routine,use bricks as weights for a homemade workout routine,brick,brick,0.80832
243,244,creative,4 Build a small outdoor fireplace or grill using bricks,build a small outdoor fireplace or grill using bricks,brick,brick,0.80833
244,245,creative,5 Use bricks as a base for a DIY coffee table or side table,use bricks as a base for a diy coffee table or side table,brick,brick,1.19163
245,246,creative,6 Create a unique piece of wall art by painting bricks and arranging them in a pattern,create a unique piece of wall art by painting bricks and arranging them in a pattern,brick,brick,1.19177
246,247,creative,7 Use bricks as a makeshift step stool or platform for hardtoreach areas,use bricks as a makeshift step stool or platform for hardtoreach areas,brick,brick,0.80833
247,248,creative,8 Build a small retaining wall to create a raised garden bed,build a small retaining wall to create a raised garden bed,brick,brick,0.80813
248,249,creative,9 Use bricks as a base for a bird bath or fountain,use bricks as a base for a bird bath or fountain,brick,brick,0.80833
249,250,creative,10 Create a unique outdoor seating area by stacking bricks and adding cushions,create a unique outdoor seating area by stacking bricks and adding cushions,brick,brick,0.8086
